x,m,y,n,w,n,z,p,y,w,n,w,z
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:13,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:13,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:13,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:13,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:14,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:14,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:14,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:14,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:2,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:2,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:2,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:3,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:3,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:3,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:3,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:4,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:4,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:4,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:4,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:5,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:5,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:5,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:5,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:6,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:6,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:6,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:6,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:7,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:7,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:7,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:7,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:8,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:8,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:8,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:8,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:9,mouseDown,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:9,CH.ifa.draw.standard.CreationTool:1,mouseDown,CH.ifa.draw.standard.CreationTool:1,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:9,mouseDown,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.StandardDrawingView:1,add,CH.ifa.draw.standard.SelectAreaTracker:9,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.StandardDrawingView:1
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:1,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.DragTracker:3,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.DragTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:1,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:1
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:10,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:10
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:11,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:11
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:12,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:12
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:13,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:13
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:14,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:14
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:2,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:2
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:3,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:3
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:4,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:4
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:5,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:5
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:6,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:6
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:7,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:7
CH.ifa.draw.standard.StandardDrawingView:1,mousePressed,CH.ifa.draw.standard.CreationTool:2,mouseDown,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectAreaTracker:8,mouseDown,CH.ifa.draw.standard.CreationTool:2,CH.ifa.draw.standard.SelectionTool:1,mouseDown,CH.ifa.draw.standard.SelectionTool:1,CH.ifa.draw.standard.SelectAreaTracker:8
